onset	duration	sample	value	event_code	user_answer	correct_answer	target_count
0	n/a	0	break cnt	break cnt	n/a	n/a	8
33.372	n/a	16686	seqLearning_start	91	n/a	n/a	8
39.656	n/a	19828	learningBlock_1	31	n/a	n/a	8
39.686	n/a	19843	dot_no1_ON	11	n/a	n/a	8
40.276	n/a	20138	dot_no1_OFF	21	n/a	n/a	8
41.594	n/a	20797	dot_no6_ON	16	n/a	n/a	8
42.174	n/a	21087	dot_no6_OFF	26	n/a	n/a	8
43.494	n/a	21747	dot_no4_ON	14	n/a	n/a	8
44.074	n/a	22037	dot_no4_OFF	24	n/a	n/a	8
45.394	n/a	22697	dot_no2_ON	12	n/a	n/a	8
45.974	n/a	22987	dot_no2_OFF	22	n/a	n/a	8
47.294	n/a	23647	dot_no7_ON	17	n/a	n/a	8
47.874	n/a	23937	dot_no7_OFF	27	n/a	n/a	8
49.194	n/a	24597	dot_no3_ON	13	n/a	n/a	8
49.774	n/a	24887	dot_no3_OFF	23	n/a	n/a	8
51.094	n/a	25547	dot_no8_ON	18	n/a	n/a	8
51.674	n/a	25837	dot_no8_OFF	28	n/a	n/a	8
52.994	n/a	26497	dot_no5_ON	15	n/a	n/a	8
53.574	n/a	26787	dot_no5_OFF	25	n/a	n/a	8
54.894	n/a	27447	dot_no2_ON	12	n/a	n/a	8
55.474	n/a	27737	dot_no2_OFF	22	n/a	n/a	8
56.794	n/a	28397	dot_no7_ON	17	n/a	n/a	8
57.374	n/a	28687	dot_no7_OFF	27	2-2-2-4-8-6-1-7-3-5	1-6-4-2-7-3-8-5-2-7	8
98.728	n/a	49364	learningBlock_2	32	n/a	n/a	8
98.736	n/a	49368	dot_no1_ON	11	n/a	n/a	8
99.316	n/a	49658	dot_no1_OFF	21	n/a	n/a	8
100.636	n/a	50318	dot_no6_ON	16	n/a	n/a	8
101.216	n/a	50608	dot_no6_OFF	26	n/a	n/a	8
102.536	n/a	51268	dot_no4_ON	14	n/a	n/a	8
103.116	n/a	51558	dot_no4_OFF	24	n/a	n/a	8
104.436	n/a	52218	dot_no2_ON	12	n/a	n/a	8
105.016	n/a	52508	dot_no2_OFF	22	n/a	n/a	8
106.336	n/a	53168	dot_no7_ON	17	n/a	n/a	8
106.916	n/a	53458	dot_no7_OFF	27	n/a	n/a	8
108.236	n/a	54118	dot_no3_ON	13	n/a	n/a	8
108.816	n/a	54408	dot_no3_OFF	23	n/a	n/a	8
110.136	n/a	55068	dot_no8_ON	18	n/a	n/a	8
110.716	n/a	55358	dot_no8_OFF	28	n/a	n/a	8
112.036	n/a	56018	dot_no5_ON	15	n/a	n/a	8
112.616	n/a	56308	dot_no5_OFF	25	n/a	n/a	8
113.936	n/a	56968	dot_no2_ON	12	n/a	n/a	8
114.516	n/a	57258	dot_no2_OFF	22	n/a	n/a	8
115.836	n/a	57918	dot_no7_ON	17	n/a	n/a	8
116.416	n/a	58208	dot_no7_OFF	27	1-6-4-2-7-8-5-3-7-8	1-6-4-2-7-3-8-5-2-7	8
158.28	n/a	79140	learningBlock_3	33	n/a	n/a	8
158.286	n/a	79143	dot_no1_ON	11	n/a	n/a	8
158.866	n/a	79433	dot_no1_OFF	21	n/a	n/a	8
160.188	n/a	80094	dot_no6_ON	16	n/a	n/a	8
160.768	n/a	80384	dot_no6_OFF	26	n/a	n/a	8
162.088	n/a	81044	dot_no4_ON	14	n/a	n/a	8
162.668	n/a	81334	dot_no4_OFF	24	n/a	n/a	8
163.988	n/a	81994	dot_no2_ON	12	n/a	n/a	8
164.568	n/a	82284	dot_no2_OFF	22	n/a	n/a	8
165.888	n/a	82944	dot_no7_ON	17	n/a	n/a	8
166.468	n/a	83234	dot_no7_OFF	27	n/a	n/a	8
167.788	n/a	83894	dot_no3_ON	13	n/a	n/a	8
168.368	n/a	84184	dot_no3_OFF	23	n/a	n/a	8
169.688	n/a	84844	dot_no8_ON	18	n/a	n/a	8
170.268	n/a	85134	dot_no8_OFF	28	n/a	n/a	8
171.588	n/a	85794	dot_no5_ON	15	n/a	n/a	8
172.168	n/a	86084	dot_no5_OFF	25	n/a	n/a	8
173.488	n/a	86744	dot_no2_ON	12	n/a	n/a	8
174.068	n/a	87034	dot_no2_OFF	22	n/a	n/a	8
175.388	n/a	87694	dot_no7_ON	17	n/a	n/a	8
175.968	n/a	87984	dot_no7_OFF	27	1-6-4-2-7-3-8-5-7-8	1-6-4-2-7-3-8-5-2-7	8
219.74	n/a	109870	learningBlock_4	34	n/a	n/a	8
219.748	n/a	109874	dot_no1_ON	11	n/a	n/a	8
220.328	n/a	110164	dot_no1_OFF	21	n/a	n/a	8
221.648	n/a	110824	dot_no6_ON	16	n/a	n/a	8
222.228	n/a	111114	dot_no6_OFF	26	n/a	n/a	8
223.548	n/a	111774	dot_no4_ON	14	n/a	n/a	8
224.128	n/a	112064	dot_no4_OFF	24	n/a	n/a	8
225.448	n/a	112724	dot_no2_ON	12	n/a	n/a	8
226.028	n/a	113014	dot_no2_OFF	22	n/a	n/a	8
227.348	n/a	113674	dot_no7_ON	17	n/a	n/a	8
227.928	n/a	113964	dot_no7_OFF	27	n/a	n/a	8
229.248	n/a	114624	dot_no3_ON	13	n/a	n/a	8
229.828	n/a	114914	dot_no3_OFF	23	n/a	n/a	8
231.148	n/a	115574	dot_no8_ON	18	n/a	n/a	8
231.728	n/a	115864	dot_no8_OFF	28	n/a	n/a	8
233.048	n/a	116524	dot_no5_ON	15	n/a	n/a	8
233.628	n/a	116814	dot_no5_OFF	25	n/a	n/a	8
234.948	n/a	117474	dot_no2_ON	12	n/a	n/a	8
235.528	n/a	117764	dot_no2_OFF	22	n/a	n/a	8
236.848	n/a	118424	dot_no7_ON	17	n/a	n/a	8
237.428	n/a	118714	dot_no7_OFF	27	1-6-4-2-7-3-5-8-7-2	1-6-4-2-7-3-8-5-2-7	8
268.06	n/a	134030	learningBlock_5	35	n/a	n/a	8
268.07	n/a	134035	dot_no1_ON	11	n/a	n/a	8
268.65	n/a	134325	dot_no1_OFF	21	n/a	n/a	8
269.97	n/a	134985	dot_no6_ON	16	n/a	n/a	8
270.55	n/a	135275	dot_no6_OFF	26	n/a	n/a	8
271.87	n/a	135935	dot_no4_ON	14	n/a	n/a	8
272.45	n/a	136225	dot_no4_OFF	24	n/a	n/a	8
273.77	n/a	136885	dot_no2_ON	12	n/a	n/a	8
274.35	n/a	137175	dot_no2_OFF	22	n/a	n/a	8
275.67	n/a	137835	dot_no7_ON	17	n/a	n/a	8
276.25	n/a	138125	dot_no7_OFF	27	n/a	n/a	8
277.57	n/a	138785	dot_no3_ON	13	n/a	n/a	8
278.15	n/a	139075	dot_no3_OFF	23	n/a	n/a	8
279.47	n/a	139735	dot_no8_ON	18	n/a	n/a	8
280.05	n/a	140025	dot_no8_OFF	28	n/a	n/a	8
281.37	n/a	140685	dot_no5_ON	15	n/a	n/a	8
281.95	n/a	140975	dot_no5_OFF	25	n/a	n/a	8
283.27	n/a	141635	dot_no2_ON	12	n/a	n/a	8
283.86	n/a	141930	dot_no2_OFF	22	n/a	n/a	8
285.18	n/a	142590	dot_no7_ON	17	n/a	n/a	8
285.76	n/a	142880	dot_no7_OFF	27	1-6-4-2-7-3-8-5-7-7	1-6-4-2-7-3-8-5-2-7	8
315.324	n/a	157662	seqLearning_stop	50	n/a	n/a	8
320.181	n/a	160090.5	boundary	boundary	n/a	n/a	8
