onset	duration	sample	value	event_code	user_answer	correct_answer	target_count
0	n/a	0	break cnt	break cnt	n/a	n/a	8
25.578	n/a	12789	seqLearning_start	91	n/a	n/a	8
31.854	n/a	15927	learningBlock_1	31	n/a	n/a	8
31.886	n/a	15943	dot_no1_ON	11	n/a	n/a	8
32.476	n/a	16238	dot_no1_OFF	21	n/a	n/a	8
33.796	n/a	16898	dot_no6_ON	16	n/a	n/a	8
34.376	n/a	17188	dot_no6_OFF	26	n/a	n/a	8
35.696	n/a	17848	dot_no4_ON	14	n/a	n/a	8
36.286	n/a	18143	dot_no4_OFF	24	n/a	n/a	8
37.606	n/a	18803	dot_no2_ON	12	n/a	n/a	8
38.186	n/a	19093	dot_no2_OFF	22	n/a	n/a	8
39.506	n/a	19753	dot_no7_ON	17	n/a	n/a	8
40.086	n/a	20043	dot_no7_OFF	27	n/a	n/a	8
41.406	n/a	20703	dot_no3_ON	13	n/a	n/a	8
41.986	n/a	20993	dot_no3_OFF	23	n/a	n/a	8
43.306	n/a	21653	dot_no8_ON	18	n/a	n/a	8
43.886	n/a	21943	dot_no8_OFF	28	n/a	n/a	8
45.206	n/a	22603	dot_no5_ON	15	n/a	n/a	8
45.786	n/a	22893	dot_no5_OFF	25	n/a	n/a	8
47.106	n/a	23553	dot_no2_ON	12	n/a	n/a	8
47.686	n/a	23843	dot_no2_OFF	22	n/a	n/a	8
49.006	n/a	24503	dot_no7_ON	17	n/a	n/a	8
49.586	n/a	24793	dot_no7_OFF	27	1-6-2-4-8-5-7-1-3-6	1-6-4-2-7-3-8-5-2-7	8
93.308	n/a	46654	learningBlock_2	32	n/a	n/a	8
93.316	n/a	46658	dot_no1_ON	11	n/a	n/a	8
93.896	n/a	46948	dot_no1_OFF	21	n/a	n/a	8
95.216	n/a	47608	dot_no6_ON	16	n/a	n/a	8
95.796	n/a	47898	dot_no6_OFF	26	n/a	n/a	8
97.116	n/a	48558	dot_no4_ON	14	n/a	n/a	8
97.696	n/a	48848	dot_no4_OFF	24	n/a	n/a	8
